create table Bike (
id int PRIMARY KEY NOT NULL,
question varchar(750) NOT NULL UNIQUE,
option_1 varchar(100) NOT NULL,
option_2 varchar(100) NOT NULL,
option_3 varchar(100) NOT NULL,
option_4 varchar(100) NOT NULL,
correct_option varchar(1) NOT NULL);



insert into Bike values(1,'Which of the following motorcycle brands is from Italy?', 'Harley Davidson', 'Ducati', 'Triumph', 'Kawasaki', 'b'),
(2,'The Hayabusa is a popular model of which motorcycle brand?', 'Honda', 'Kawasaki', 'Yamaha', 'Suzuki', 'd'),
(3,'The Indian Scout is a model of which motorcycle brand?', 'Triumph', 'Harley Davidson', 'Indian', 'Ducati', 'c'),
(4,'Which of the following motorcycle brands is from the United States?', 'Kawasaki', 'Honda', 'Harley Davidson', 'Yamaha', 'c'),
(5,'Which Japanese motorcycle brand is known for its off-road bikes?', 'Yamaha', 'Suzuki', 'Kawasaki', 'Honda', 'd'),
(6,'The Bonneville is a popular model of which motorcycle brand?', 'Triumph', 'Indian', 'Harley Davidson', 'Ducati', 'a'),
(7,'Which of the following motorcycle brands is from Austria?', 'KTM', 'BMW', 'Triumph', 'Ducati', 'a'),
(8,'The Gold Wing is a popular model of which motorcycle brand?', 'Honda', 'Suzuki', 'Yamaha', 'Harley Davidson', 'a'),
(9,'Which Italian motorcycle brand is known for its racing bikes?', 'Ducati', 'Piaggio', 'Aprilia', 'Moto Guzzi', 'a'),
(10,'The MT-09 is a model of which motorcycle brand?', 'Yamaha', 'Kawasaki', 'Honda', 'Suzuki', 'a'),
(11,'The V-Rod is a popular model of which motorcycle brand?', 'Kawasaki', 'Suzuki', 'Harley Davidson', 'Honda', 'C'),
(12,'Which Japanese motorcycle brand produces the Ninja sport bikes?', 'Yamaha', 'Suzuki', 'Kawasaki', 'Honda', 'C'),
(13,'The Panigale is a popular model of which motorcycle brand?', 'Triumph', 'Ducati', 'BMW', 'Indian', 'B'),
(14,'Which of the following motorcycle brands is from Germany?', 'Triumph', 'BMW', 'Ducati', 'KTM', 'B'),
(15,'The Sportster is a popular model of which motorcycle brand?', 'Triumph', 'Indian', 'Harley Davidson', 'Yamaha', 'C'),
(16,'Which Japanese motorcycle brand is known for its touring bikes?', 'Honda', 'Kawasaki', 'Yamaha', 'Suzuki', 'A'),
(17,'The Africa Twin is a popular model of which motorcycle brand?', 'Suzuki', 'Honda', 'Yamaha', 'Kawasaki', 'B'),
(18,'Which Italian motorcycle brand produces the Monster series of naked bikes?', 'Aprilia', 'Moto Guzzi', 'Piaggio', 'Ducati', 'D'),
(19,'The Softail is a popular model of which motorcycle brand?', 'Indian', 'Harley Davidson', 'Triumph', 'Ducati', 'B'),
(20,'Which British motorcycle brand is known for its classic and vintage style bikes?', 'Norton', 'BSA', 'Royal Enfield', 'Triumph', 'C'),
 (21,'Which of the following motorcycle brands is from the United Kingdom?', 'Triumph', 'Ducati', 'KTM', 'Yamaha', 'A'),
       (22,'The GSX-R is a popular model of which motorcycle brand?', 'Yamaha', 'Kawasaki', 'Suzuki', 'Honda', 'C'),
       (23,'Which American motorcycle brand is known for its touring bikes?', 'Indian', 'Harley Davidson', 'Victory', 'Ducati', 'B'),
       (24,'The Rocket 3 is a model of which motorcycle brand?', 'Triumph', 'Kawasaki', 'Ducati', 'Suzuki', 'A'),
       (25,'Which of the following motorcycle brands is from Germany?', 'Triumph', 'Ducati', 'BMW', 'Indian', 'C'),
       (26,'The R1 is a popular model of which motorcycle brand?', 'Yamaha', 'Suzuki', 'Honda', 'Kawasaki', 'A'),
       (27,'Which Italian motorcycle brand is known for its adventure bikes?', 'Ducati', 'Moto Guzzi', 'Aprilia', 'Piaggio', 'C'),
       (28,'The VFR is a model of which motorcycle brand?', 'Yamaha', 'Kawasaki', 'Suzuki', 'Honda', 'D'),
       (29,'Which Japanese motorcycle brand is known for its cruiser bikes?', 'Yamaha', 'Kawasaki', 'Suzuki', 'Honda', 'A'),
       (30,'The Multistrada is a popular model of which motorcycle brand?', 'Ducati', 'Piaggio', 'Aprilia', 'Moto Guzzi', 'A'),
(31,'Which of the following motorcycle brands is from Spain?', 'Aprilia', 'KTM', 'MV Agusta', 'Gas Gas', 'D'),
(32,'The Grom is a popular model of which motorcycle brand?', 'Honda', 'Yamaha', 'Suzuki', 'Kawasaki', 'A'),
(33,'Which American motorcycle brand is known for its modern retro bikes?', 'Indian', 'Harley Davidson', 'Victory', 'Moto Guzzi', 'D'),
(34,'The Thruxton is a model of which motorcycle brand?', 'Triumph', 'Kawasaki', 'Ducati', 'Suzuki', 'A'),
(35,'Which of the following motorcycle brands is from Switzerland?', 'Husqvarna', 'Sherco', 'Vertigo', 'Bultaco', 'C'),
(36,'The CBR is a popular model of which motorcycle brand?', 'Yamaha', 'Kawasaki', 'Suzuki', 'Honda', 'D'),
(37,'Which Italian motorcycle brand is known for its scooters?', 'Ducati', 'Moto Guzzi', 'Aprilia', 'Piaggio', 'D'),
(38,'The FJR is a model of which motorcycle brand?', 'Yamaha', 'Kawasaki', 'Suzuki', 'Honda', 'A'),
(39,'Which Japanese motorcycle brand is known for its sport-touring bikes?', 'Yamaha', 'Kawasaki', 'Suzuki', 'Honda', 'D'),
(40,'The Africa Twin is a popular model of which motorcycle brand?', 'Ducati', 'Piaggio', 'Aprilia', 'Honda', 'D');

select * from Bike where id = 40;
